conta;ccusto;data;valor;chave;chave2
SEGURO DE CARGA;COM REC;01/05/2019;215,63388;SEGURODECARGACOMREC52019MHTA21563388;SEGURODECARGACOMREC52019
SEGURO DE CARGA;DEM GIG;01/05/2019;35,47224;SEGURODECARGADEMGIG52019MHTA3547224;SEGURODECARGADEMGIG52019
SEGURO DE CARGA;DEM GYN;01/05/2019;0,93348;SEGURODECARGADEMGYN52019MHTA093348;SEGURODECARGADEMGYN52019
SEGURO DE CARGA;DHL FOR;01/05/2019;3,73392;SEGURODECARGADHLFOR52019MHTA373392;SEGURODECARGADHLFOR52019
SEGURO DE CARGA;DHL JPA;01/05/2019;256,707;SEGURODECARGADHLJPA52019MHTA256707;SEGURODECARGADHLJPA52019
SEGURO DE CARGA;DHL NAT;01/05/2019;6,53436;SEGURODECARGADHLNAT52019MHTA653436;SEGURODECARGADHLNAT52019
SEGURO DE CARGA;DHL REC;01/05/2019;109,21716;SEGURODECARGADHLREC52019MHTA10921716;SEGURODECARGADHLREC52019
SEGURO DE CARGA;MART FOR;01/05/2019;36,40572;SEGURODECARGAMARTFOR52019MHTA3640572;SEGURODECARGAMARTFOR52019
SEGURO DE CARGA;MART JPA;01/05/2019;22,40352;SEGURODECARGAMARTJPA52019MHTA2240352;SEGURODECARGAMARTJPA52019
SEGURO DE CARGA;MART NAT;01/05/2019;3,73392;SEGURODECARGAMARTNAT52019MHTA373392;SEGURODECARGAMARTNAT52019
SEGURO DE CARGA;MLUIZA JPA;01/05/2019;66,27708;SEGURODECARGAMLUIZAJPA52019MHTA6627708;SEGURODECARGAMLUIZAJPA52019
SEGURO DE CARGA;MLUIZA PNM;01/05/2019;107,3502;SEGURODECARGAMLUIZAPNM52019MHTA1073502;SEGURODECARGAMLUIZAPNM52019
SEGURO DE CARGA;P&G GRU;01/05/2019;62,54316;SEGURODECARGAP&GGRU52019MHTA6254316;SEGURODECARGAP&GGRU52019
SEGURO DE CARGA;PM AJU;01/05/2019;6,53436;SEGURODECARGAPMAJU52019MHTA653436;SEGURODECARGAPMAJU52019
SEGURO DE CARGA;PM BHZ;01/05/2019;9,3348;SEGURODECARGAPMBHZ52019MHTA93348;SEGURODECARGAPMBHZ52019
SEGURO DE CARGA;PM CPV;01/05/2019;1,86696;SEGURODECARGAPMCPV52019MHTA186696;SEGURODECARGAPMCPV52019
SEGURO DE CARGA;PM CWB;01/05/2019;17,73612;SEGURODECARGAPMCWB52019MHTA1773612;SEGURODECARGAPMCWB52019
SEGURO DE CARGA;PM FOR;01/05/2019;2011,6494;SEGURODECARGAPMFOR52019MHTA20116494;SEGURODECARGAPMFOR52019
SEGURO DE CARGA;PM GIG;01/05/2019;5,60088;SEGURODECARGAPMGIG52019MHTA560088;SEGURODECARGAPMGIG52019
