conta;ccusto;data;valor;chave;chave2
ADIANTAMENTO A FORNECEDOR;DIRETORIA;16/05/2019;20000;ADIANTAMENTOAFORNECEDORDIRETORIA52019NUCLE20000;ADIANTAMENTOAFORNECEDORDIRETORIA52019
SALARIOS;ADM FOR;20/05/2019;13,81435057;SALARIOSADMFOR52019LAUTO13814350571;SALARIOSADMFOR52019
SALARIOS;ADM FOR;20/05/2019;5367,195895;SALARIOSADMFOR52019LAUTO53671958953074;SALARIOSADMFOR52019
SALARIOS;ADM GIG;20/05/2019;9,058588984;SALARIOSADMGIG52019LAUTO90585889835;SALARIOSADMGIG52019
SALARIOS;ADM GIG;20/05/2019;3519,472114;SALARIOSADMGIG52019LAUTO35194721141349;SALARIOSADMGIG52019
SALARIOS;ADM JDO;20/05/2019;3,378706331;SALARIOSADMJDO52019LAUTO3378706331;SALARIOSADMJDO52019
SALARIOS;ADM JDO;20/05/2019;1312,705846;SALARIOSADMJDO52019LAUTO13127058458514;SALARIOSADMJDO52019
SALARIOS;AZUL FOR;20/05/2019;31,98307234;SALARIOSAZULFOR52019LAUTO319830723415;SALARIOSAZULFOR52019
SALARIOS;AZUL FOR;20/05/2019;12426,16609;SALARIOSAZULFOR52019LAUTO124261660878201;SALARIOSAZULFOR52019
SALARIOS;AZUL REC;20/05/2019;33,49621125;SALARIOSAZULREC52019LAUTO334962112485;SALARIOSAZULREC52019
SALARIOS;AZUL REC;20/05/2019;13014,05568;SALARIOSAZULREC52019LAUTO130140556805259;SALARIOSAZULREC52019
SALARIOS;CB FOR;20/05/2019;36,14041575;SALARIOSCBFOR52019LAUTO36140415745;SALARIOSCBFOR52019
SALARIOS;CB FOR;20/05/2019;14041,39051;SALARIOSCBFOR52019LAUTO14041390512303;SALARIOSCBFOR52019
SALARIOS;CB JDO;20/05/2019;12,64866601;SALARIOSCBJDO52019LAUTO12648666009;SALARIOSCBJDO52019
SALARIOS;CB JDO;20/05/2019;4914,300382;SALARIOSCBJDO52019LAUTO49143003817446;SALARIOSCBJDO52019
SALARIOS;CB REC;20/05/2019;9,587495222;SALARIOSCBREC52019LAUTO95874952215;SALARIOSCBREC52019
SALARIOS;CB REC;20/05/2019;3724,964466;SALARIOSCBREC52019LAUTO37249644660921;SALARIOSCBREC52019
SALARIOS;COM AJU;20/05/2019;2,413158423;SALARIOSCOMAJU52019LAUTO24131584225;SALARIOSCOMAJU52019
SALARIOS;COM AJU;20/05/2019;937,5680683;SALARIOSCOMAJU52019LAUTO9375680683215;SALARIOSCOMAJU52019
SALARIOS;COM CAU;20/05/2019;6,858540108;SALARIOSCOMCAU52019LAUTO6858540108;SALARIOSCOMCAU52019
